P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,C,C2,C3,CN,CO,CO2,C(gr)
562.341,2.475000e+03,1.747120e-01,1.256920e+00,7.874900e-09,6.037690e-10,4.893180e-08,6.530770e-01,1.253700e-12,2.089780e-10,5.378870e-11,5.974750e-10,3.083090e-06,3.466340e-01,2.860290e-04,1.000000e+00
562.341,2.500000e+03,1.747230e-01,1.289800e+00,9.949720e-09,7.259310e-10,5.430370e-08,6.530630e-01,1.413010e-12,2.957180e-10,8.006740e-11,8.851890e-10,3.799750e-06,3.466680e-01,2.656560e-04,1.000000e+00
562.341,2.525000e+03,1.747330e-01,1.322690e+00,1.251350e-08,8.697270e-10,6.014660e-08,6.530500e-01,1.589110e-12,4.155700e-10,1.182330e-10,1.300940e-09,4.663420e-06,3.466980e-01,2.471320e-04,1.000000e+00
562.341,2.550000e+03,1.747420e-01,1.355600e+00,1.566780e-08,1.038440e-09,6.649050e-08,6.530380e-01,1.783370e-12,5.800820e-10,1.732400e-10,1.897100e-09,5.700170e-06,3.467260e-01,2.302600e-04,1.000000e+00
562.341,2.575000e+03,1.747500e-01,1.388520e+00,1.953230e-08,1.235740e-09,7.336700e-08,6.530270e-01,1.997290e-12,8.044500e-10,2.519280e-10,2.745560e-09,6.939970e-06,3.467510e-01,2.148670e-04,1.000000e+00
562.341,2.600000e+03,1.747580e-01,1.421450e+00,2.424760e-08,1.465790e-09,8.080850e-08,6.530170e-01,2.232400e-12,1.108550e-09,3.636820e-10,3.944360e-09,8.417110e-06,3.467740e-01,2.007980e-04,1.000000e+00
562.341,2.625000e+03,1.747650e-01,1.454400e+00,2.997840e-08,1.733190e-09,8.884870e-08,6.530070e-01,2.490360e-12,1.518220e-09,5.212840e-10,5.626260e-09,1.017070e-05,3.467950e-01,1.879200e-04,1.000000e+00
562.341,2.650000e+03,1.747720e-01,1.487370e+00,3.691660e-08,2.043130e-09,9.752230e-08,6.529970e-01,2.772910e-12,2.066880e-09,7.420340e-10,7.969830e-09,1.224540e-05,3.468140e-01,1.761130e-04,1.000000e+00
562.341,2.675000e+03,1.747790e-01,1.520360e+00,4.528510e-08,2.401340e-09,1.068650e-07,6.529880e-01,3.081880e-12,2.797500e-09,1.049190e-09,1.121370e-08,1.469150e-05,3.468320e-01,1.652710e-04,1.000000e+00
562.341,2.700000e+03,1.747850e-01,1.553360e+00,5.534240e-08,2.814200e-09,1.169150e-07,6.529790e-01,3.419180e-12,3.765030e-09,1.473820e-09,1.567490e-08,1.756630e-05,3.468480e-01,1.553000e-04,1.000000e+00
