P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,Si,SiO,SiO2,Si2,SiN,SiO2(a-qz),SiO2(b-qz),SiO2(b-crt),SiO2(L)
0.001,1.675000e+03,2.249410e-06,1.575380e+00,9.437330e-11,4.875210e-04,2.602720e-03,7.931290e-01,2.037800e-01,1.490900e-19,1.436210e-07,9.355520e-07,8.756080e-37,4.089840e-22,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.700000e+03,4.250180e-06,1.608480e+00,1.564920e-10,6.375650e-04,2.864860e-03,7.929370e-01,2.035580e-01,6.148580e-19,3.299820e-07,1.708930e-06,1.055790e-35,1.613170e-21,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.725000e+03,7.935340e-06,1.642030e+00,2.557360e-10,8.272980e-04,3.144280e-03,7.927210e-01,2.033040e-01,2.433210e-18,7.398280e-07,3.066570e-06,1.183870e-34,6.113950e-21,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.750000e+03,1.465790e-05,1.676100e+00,4.121200e-10,1.065470e-03,3.441320e-03,7.924750e-01,2.030110e-01,9.256550e-18,1.620330e-06,5.409860e-06,1.238420e-33,2.230430e-20,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.775000e+03,2.681640e-05,1.710770e+00,6.552950e-10,1.362370e-03,3.756270e-03,7.921940e-01,2.026750e-01,3.390990e-17,3.470180e-06,9.389430e-06,1.212250e-32,7.845030e-20,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.800000e+03,4.863510e-05,1.746140e+00,1.028660e-09,1.729960e-03,4.089320e-03,7.918720e-01,2.022860e-01,1.198170e-16,7.274290e-06,1.604380e-05,1.113570e-31,2.664530e-19,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.825000e+03,8.750830e-05,1.782300e+00,1.594990e-09,2.182140e-03,4.440590e-03,7.914980e-01,2.018370e-01,4.089690e-16,1.493880e-05,2.700650e-05,9.625590e-31,8.752050e-19,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.850000e+03,1.562950e-04,1.819340e+00,2.444000e-09,2.734850e-03,4.810080e-03,7.910620e-01,2.013180e-01,1.350460e-15,3.008190e-05,4.481140e-05,7.849720e-30,2.784030e-18,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.875000e+03,2.772160e-04,1.857360e+00,3.702590e-09,3.406330e-03,5.197680e-03,7.905440e-01,2.007200e-01,4.320190e-15,5.944490e-05,7.333630e-05,6.054390e-29,8.588070e-18,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.900000e+03,4.883960e-04,1.896400e+00,5.548240e-09,4.217280e-03,5.603090e-03,7.899160e-01,2.000300e-01,1.340680e-14,1.153680e-04,1.184390e-04,4.426900e-28,2.572310e-17,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.925000e+03,8.548030e-04,1.936480e+00,8.226630e-09,5.191020e-03,6.025830e-03,7.891370e-01,1.992370e-01,4.041140e-14,2.200610e-04,1.888610e-04,3.075530e-27,7.489970e-17,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.950000e+03,1.486350e-03,1.977500e+00,1.207430e-08,6.353730e-03,6.465170e-03,7.881390e-01,1.983310e-01,1.184560e-13,4.128530e-04,2.974920e-04,2.034490e-26,2.122510e-16,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.975000e+03,2.567680e-03,2.019170e+00,1.754720e-08,7.734580e-03,6.920020e-03,7.868150e-01,1.973050e-01,3.380510e-13,7.623080e-04,4.631200e-04,1.284040e-25,5.859770e-16,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,2.000000e+03,4.401890e-03,2.060930e+00,2.525650e-08,9.366030e-03,7.388870e-03,7.849930e-01,1.961550e-01,9.391310e-13,1.384570e-03,7.120120e-04,7.728420e-25,1.575650e-15,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
0.001,2.025000e+03,7.452930e-03,2.101870e+00,3.601070e-08,1.128420e-02,7.869630e-03,7.824160e-01,1.948910e-01,2.529730e-12,2.463010e-03,1.076240e-03,4.399980e-24,4.109440e-15,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
0.001,2.050000e+03,1.254240e-02,2.140190e+00,5.086290e-08,1.352970e-02,8.359240e-03,7.786420e-01,1.935400e-01,6.653040e-12,4.319590e-03,1.609830e-03,2.401900e-23,1.046420e-14,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
0.001,2.075000e+03,2.099200e-02,2.173050e+00,7.115730e-08,1.614880e-02,8.853350e-03,7.729820e-01,1.921600e-01,1.709320e-11,7.471530e-03,2.383780e-03,1.258430e-22,2.601820e-14,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
0.001,2.100000e+03,3.497780e-02,2.195910e+00,9.855850e-08,1.919640e-02,9.345560e-03,7.643520e-01,1.908620e-01,4.291460e-11,1.274860e-02,3.495650e-03,6.330350e-22,6.313690e-14,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
0.001,2.125000e+03,5.812580e-02,2.201860e+00,1.350310e-07,2.274100e-02,9.826140e-03,7.510640e-01,1.898320e-01,1.052650e-10,2.145840e-02,5.078270e-03,3.055640e-21,1.493190e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
0.001,2.150000e+03,9.662220e-02,2.180740e+00,1.826900e-07,2.687340e-02,1.027970e-02,7.305450e-01,1.893740e-01,2.520490e-10,3.561680e-02,7.310970e-03,1.412650e-20,3.432070e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
0.001,2.175000e+03,1.614800e-01,2.118510e+00,2.433770e-07,3.172190e-02,1.068020e-02,6.989610e-01,1.899540e-01,5.881050e-10,5.824900e-02,1.043380e-02,6.231990e-20,7.628820e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
0.001,2.200000e+03,2.737700e-01,1.997280e+00,3.176140e-07,3.747480e-02,1.098100e-02,6.507830e-01,1.922580e-01,1.333410e-09,9.373750e-02,1.476550e-02,2.608300e-19,1.626500e-12,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
0.001,2.225000e+03,4.789120e-01,1.797000e+00,4.022400e-07,4.441230e-02,1.109100e-02,5.783720e-01,1.972430e-01,2.926390e-09,1.481550e-01,2.072610e-02,1.027530e-18,3.281450e-12,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
0.001,2.250000e+03,8.965760e-01,1.499610e+00,4.848320e-07,5.294450e-02,1.081860e-02,4.717170e-01,2.061740e-01,6.188720e-09,2.294800e-01,2.886500e-02,3.775330e-18,6.114680e-12,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
0.001,2.275000e+03,1.984350e+00,1.095230e+00,5.283460e-07,6.365470e-02,9.703940e-03,3.184750e-01,2.206810e-01,1.255610e-08,3.475900e-01,3.989550e-02,1.282170e-17,9.951040e-12,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
0.001,2.300000e+03,8.716940e+00,5.874350e-01,3.996950e-07,7.737840e-02,6.159400e-03,1.048900e-01,2.430360e-01,2.433720e-08,5.137980e-01,5.473730e-02,3.990770e-17,1.081160e-11,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
