Tw_K,P_bar,M[kg/mol],Cp[J/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[Pa-s]
700,0.00180184,1.576400e-02,2.305940e+04,-4.185950e+06,1.199990e+00,4.880360e-04,2.673970e-05
725,0.00180184,1.501060e-02,1.389030e+04,-3.725670e+06,1.179280e+00,4.486840e-04,2.792250e-05
750,0.00180184,1.466550e-02,7.128020e+03,-3.470450e+06,1.186910e+00,4.237590e-04,2.888820e-05
775,0.00180184,1.454030e-02,3.892380e+03,-3.339040e+06,1.235240e+00,4.065860e-04,2.969650e-05
800,0.00180184,1.450120e-02,2.788990e+03,-3.258190e+06,1.288290e+00,3.928230e-04,3.043760e-05
825,0.00180184,1.448940e-02,2.462750e+03,-3.193370e+06,1.314860e+00,3.806090e-04,3.115700e-05
850,0.00180184,1.448570e-02,2.368450e+03,-3.133220e+06,1.323770e+00,3.693190e-04,3.186910e-05
875,0.00180184,1.448440e-02,2.341400e+03,-3.074410e+06,1.326200e+00,3.587370e-04,3.257750e-05
900,0.00180184,1.448400e-02,2.334250e+03,-3.015990e+06,1.326660e+00,3.487610e-04,3.328300e-05
925,0.00180184,1.448380e-02,2.333110e+03,-2.957650e+06,1.326550e+00,3.393310e-04,3.398560e-05
950,0.00180184,1.448380e-02,2.333800e+03,-2.899320e+06,1.326300e+00,3.304000e-04,3.468510e-05
975,0.00180184,1.448380e-02,2.335120e+03,-2.840960e+06,1.326010e+00,3.219280e-04,3.538130e-05
1000,0.00180184,1.448370e-02,2.336820e+03,-2.782560e+06,1.325670e+00,3.138790e-04,3.607410e-05
1025,0.00180184,1.448370e-02,2.337940e+03,-2.724130e+06,1.325460e+00,3.062240e-04,3.671090e-05
1050,0.00180184,1.448370e-02,2.339270e+03,-2.665660e+06,1.325210e+00,2.989330e-04,3.734240e-05
1075,0.00180184,1.448370e-02,2.340840e+03,-2.607160e+06,1.324920e+00,2.919810e-04,3.796850e-05
1100,0.00180184,1.448370e-02,2.342680e+03,-2.548620e+06,1.324580e+00,2.853450e-04,3.858930e-05
1125,0.00180184,1.448370e-02,2.344830e+03,-2.490020e+06,1.324190e+00,2.790040e-04,3.920510e-05
1150,0.00180184,1.448370e-02,2.347320e+03,-2.431370e+06,1.323740e+00,2.729380e-04,3.981580e-05
1175,0.00180184,1.448370e-02,2.350160e+03,-2.372660e+06,1.323230e+00,2.671310e-04,4.042180e-05
1200,0.00180184,1.448370e-02,2.353380e+03,-2.313860e+06,1.322660e+00,2.615650e-04,4.102320e-05
1225,0.00180184,1.448370e-02,2.357010e+03,-2.254980e+06,1.322020e+00,2.562270e-04,4.162010e-05
1250,0.00180184,1.448370e-02,2.361110e+03,-2.196010e+06,1.321310e+00,2.511020e-04,4.221280e-05
1275,0.00180184,1.448360e-02,2.365730e+03,-2.136920e+06,1.320520e+00,2.461780e-04,4.280150e-05
1300,0.00180184,1.448360e-02,2.370950e+03,-2.077720e+06,1.319640e+00,2.414430e-04,4.338630e-05
1325,0.00180184,1.448350e-02,2.376890e+03,-2.018370e+06,1.318660e+00,2.368870e-04,4.396740e-05
1350,0.00180184,1.448340e-02,2.383700e+03,-1.958860e+06,1.317560e+00,2.324980e-04,4.454510e-05
1375,0.00180184,1.448330e-02,2.391560e+03,-1.899180e+06,1.316330e+00,2.282690e-04,4.511940e-05
1400,0.00180184,1.448310e-02,2.400720e+03,-1.839280e+06,1.314930e+00,2.241900e-04,4.569060e-05
1425,0.00180184,1.448290e-02,2.411470e+03,-1.779130e+06,1.313340e+00,2.202530e-04,4.625870e-05
1450,0.00180184,1.448260e-02,2.424180e+03,-1.718690e+06,1.311520e+00,2.164510e-04,4.682410e-05
1475,0.00180184,1.448210e-02,2.439290e+03,-1.657900e+06,1.309420e+00,2.127760e-04,4.738680e-05
1500,0.00180184,1.448160e-02,2.457320e+03,-1.596700e+06,1.307000e+00,2.092210e-04,4.794690e-05
1525,0.00180184,1.448080e-02,2.478890e+03,-1.535000e+06,1.304220e+00,2.057810e-04,4.850460e-05
1550,0.00180184,1.447990e-02,2.504720e+03,-1.472720e+06,1.301010e+00,2.024480e-04,4.906000e-05
1575,0.00180184,1.447860e-02,2.535670e+03,-1.409720e+06,1.297330e+00,1.992180e-04,4.961320e-05
1600,0.00180184,1.447700e-02,2.572690e+03,-1.345880e+06,1.293140e+00,1.960840e-04,5.016440e-05
1625,0.00180184,1.447510e-02,2.616890e+03,-1.281030e+06,1.288390e+00,1.930410e-04,5.071370e-05
1650,0.00180184,1.447260e-02,2.669540e+03,-1.214970e+06,1.283050e+00,1.900830e-04,5.126110e-05
1675,0.00180184,1.446950e-02,2.732030e+03,-1.147470e+06,1.277110e+00,1.872060e-04,5.180680e-05
1700,0.00180184,1.446560e-02,2.805940e+03,-1.078270e+06,1.270580e+00,1.844040e-04,5.235080e-05
1725,0.00180184,1.446090e-02,2.893040e+03,-1.007060e+06,1.263480e+00,1.816720e-04,5.289330e-05
