Tw_K,P_atm,M[kg/kmol],Cp[kJ/kg-K],h[kJ/kg],gamma[-],rho[kg/m3],mu[millipoise]
900,0.00177828,1.313060e+01,1.204460e+01,-1.837140e+03,1.176810e+00,3.161730e-04,3.216150e-01
925,0.00177828,1.287870e+01,1.158740e+01,-1.540310e+03,1.180070e+00,3.017250e-04,3.267220e-01
950,0.00177828,1.265780e+01,1.067100e+01,-1.261530e+03,1.182750e+00,2.887460e-04,3.318860e-01
975,0.00177828,1.247270e+01,9.627700e+00,-1.007790e+03,1.185330e+00,2.772280e-04,3.371480e-01
1000,0.00177828,1.232130e+01,8.669200e+00,-7.794210e+02,1.187610e+00,2.670180e-04,3.425200e-01
1025,0.00177828,1.219840e+01,7.932550e+00,-5.724730e+02,1.188600e+00,2.579060e-04,3.477670e-01
1050,0.00177828,1.209710e+01,7.514610e+00,-3.801330e+02,1.186590e+00,2.496750e-04,3.531060e-01
1075,0.00177828,1.201010e+01,7.496330e+00,-1.934140e+02,1.180090e+00,2.421130e-04,3.585340e-01
1100,0.00177828,1.192950e+01,7.962570e+00,-1.281760e+00,1.169100e+00,2.350240e-04,3.640580e-01
1125,0.00177828,1.184760e+01,9.004460e+00,2.095160e+02,1.155800e+00,2.282230e-04,3.696930e-01
1150,0.00177828,1.175590e+01,1.068790e+01,4.543200e+02,1.143530e+00,2.215340e-04,3.754600e-01
1175,0.00177828,1.164700e+01,1.294590e+01,7.488010e+02,1.134970e+00,2.148120e-04,3.813780e-01
1200,0.00177828,1.151670e+01,1.532140e+01,1.102820e+03,1.131100e+00,2.079840e-04,3.874410e-01
1225,0.00177828,1.137040e+01,1.659260e+01,1.505890e+03,1.131130e+00,2.011510e-04,3.935820e-01
1250,0.00177828,1.122930e+01,1.507510e+01,1.908680e+03,1.134510e+00,1.946810e-04,3.996480e-01
1275,0.00177828,1.112300e+01,1.097520e+01,2.237070e+03,1.146390e+00,1.890580e-04,4.054670e-01
1300,0.00177828,1.106210e+01,7.150300e+00,2.460380e+03,1.175960e+00,1.844060e-04,4.110030e-01
1325,0.00177828,1.103250e+01,5.057050e+00,2.609630e+03,1.216570e+00,1.804430e-04,4.163500e-01
1350,0.00177828,1.101840e+01,4.152140e+00,2.723090e+03,1.248890e+00,1.768740e-04,4.215990e-01
1375,0.00177828,1.101100e+01,3.779740e+00,2.821560e+03,1.266770e+00,1.735420e-04,4.267950e-01
1400,0.00177828,1.100660e+01,3.622310e+00,2.913820e+03,1.274950e+00,1.703760e-04,4.319550e-01
1425,0.00177828,1.100380e+01,3.554590e+00,3.003410e+03,1.278160e+00,1.673440e-04,4.370860e-01
1450,0.00177828,1.100180e+01,3.528500e+00,3.091890e+03,1.278890e+00,1.644280e-04,4.421920e-01
1475,0.00177828,1.100020e+01,3.524970e+00,3.180020e+03,1.278240e+00,1.616180e-04,4.472740e-01
1500,0.00177828,1.099880e+01,3.536070e+00,3.268260e+03,1.276710e+00,1.589050e-04,4.523320e-01
1525,0.00177828,1.099760e+01,3.558480e+00,3.356920e+03,1.274520e+00,1.562820e-04,4.573690e-01
1550,0.00177828,1.099630e+01,3.591020e+00,3.446260e+03,1.271750e+00,1.537430e-04,4.623850e-01
1575,0.00177828,1.099490e+01,3.633660e+00,3.536550e+03,1.268450e+00,1.512830e-04,4.673800e-01
1600,0.00177828,1.099320e+01,3.687010e+00,3.628040e+03,1.264630e+00,1.488980e-04,4.723560e-01
1625,0.00177828,1.099130e+01,3.752220e+00,3.721000e+03,1.260270e+00,1.465820e-04,4.773120e-01
1650,0.00177828,1.098900e+01,3.830830e+00,3.815760e+03,1.255380e+00,1.443300e-04,4.822500e-01
1675,0.00177828,1.098630e+01,3.924720e+00,3.912670e+03,1.249970e+00,1.421400e-04,4.871710e-01
1700,0.00177828,1.098290e+01,4.036120e+00,4.012140e+03,1.244040e+00,1.400070e-04,4.920750e-01
1725,0.00177828,1.097880e+01,4.167580e+00,4.114640e+03,1.237650e+00,1.379260e-04,4.969620e-01
1750,0.00177828,1.097380e+01,4.321970e+00,4.220710e+03,1.230840e+00,1.358940e-04,5.018350e-01
1775,0.00177828,1.096780e+01,4.502480e+00,4.330960e+03,1.223680e+00,1.339070e-04,5.066920e-01
1800,0.00177828,1.096050e+01,4.712660e+00,4.446080e+03,1.216280e+00,1.319600e-04,5.115360e-01
1825,0.00177828,1.095190e+01,4.956380e+00,4.566870e+03,1.208740e+00,1.300490e-04,5.163660e-01
1850,0.00177828,1.094160e+01,5.237880e+00,4.694220e+03,1.201180e+00,1.281710e-04,5.211840e-01
1875,0.00177828,1.092940e+01,5.561750e+00,4.829120e+03,1.193720e+00,1.263210e-04,5.259900e-01
