Tw_K,P_bar,M[kg/mol],Cp[J/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[Pa-s]
3975,0.00101325,5.032500e-03,4.990460e+03,5.910560e+07,1.509970e+00,1.542870e-05,7.246200e-05
4000,0.00101325,5.032160e-03,5.053640e+03,5.923110e+07,1.501890e+00,1.533120e-05,7.280670e-05
200,0.00180184,1.920320e-02,1.737020e+03,-7.965190e+06,1.332020e+00,2.080780e-03,9.336590e-06
225,0.00180184,1.920320e-02,1.754280e+03,-7.921560e+06,1.327690e+00,1.849580e-03,1.042660e-05
250,0.00180184,1.920310e-02,1.777030e+03,-7.877430e+06,1.322210e+00,1.664620e-03,1.150440e-05
275,0.00180184,1.920270e-02,1.811290e+03,-7.832610e+06,1.314530e+00,1.513250e-03,1.256650e-05
300,0.00180184,1.920090e-02,1.867440e+03,-7.786690e+06,1.303420e+00,1.387020e-03,1.360990e-05
325,0.00180184,1.919500e-02,1.968220e+03,-7.738870e+06,1.286880e+00,1.279930e-03,1.463840e-05
350,0.00180184,1.917860e-02,2.157240e+03,-7.687550e+06,1.263090e+00,1.187490e-03,1.564220e-05
375,0.00180184,1.913920e-02,2.504840e+03,-7.629700e+06,1.232950e+00,1.106050e-03,1.661480e-05
400,0.00180184,1.905630e-02,3.104020e+03,-7.560210e+06,1.202030e+00,1.032430e-03,1.754440e-05
425,0.00180184,1.890100e-02,4.045590e+03,-7.471630e+06,1.177600e+00,9.637780e-04,1.841140e-05
450,0.00180184,1.864130e-02,5.365980e+03,-7.354740e+06,1.163750e+00,8.977300e-04,1.918550e-05
475,0.00180184,1.825500e-02,6.985320e+03,-7.200790e+06,1.160020e+00,8.328560e-04,1.982640e-05
500,0.00180184,1.774430e-02,8.688890e+03,-7.004760e+06,1.162910e+00,7.690790e-04,2.029440e-05
525,0.00180184,1.714250e-02,1.024300e+04,-6.767690e+06,1.167420e+00,7.076140e-04,2.056370e-05
550,0.00180184,1.649740e-02,1.178100e+04,-6.493040e+06,1.168410e+00,6.500320e-04,2.069490e-05
575,0.00180184,1.582480e-02,1.443660e+04,-6.169670e+06,1.164820e+00,5.964210e-04,2.082630e-05
600,0.00180184,1.505920e-02,2.019180e+04,-5.744880e+06,1.167070e+00,5.439170e-04,2.115030e-05
625,0.00180184,1.410140e-02,2.896900e+04,-5.133090e+06,1.184370e+00,4.889490e-04,2.184240e-05
650,0.00180184,1.300400e-02,3.514580e+04,-4.317130e+06,1.201070e+00,4.335550e-04,2.301600e-05
675,0.00180184,1.203570e-02,3.089150e+04,-3.465500e+06,1.193480e+00,3.864120e-04,2.451350e-05
700,0.00180184,1.144680e-02,1.775760e+04,-2.851060e+06,1.171970e+00,3.543780e-04,2.587010e-05
725,0.00180184,1.121410e-02,7.930110e+03,-2.545720e+06,1.188270e+00,3.352050e-04,2.683000e-05
750,0.00180184,1.114720e-02,4.437320e+03,-2.400140e+06,1.245860e+00,3.220960e-04,2.755390e-05
775,0.00180184,1.112960e-02,3.523170e+03,-2.303220e+06,1.285240e+00,3.112130e-04,2.819950e-05
800,0.00180184,1.112470e-02,3.304420e+03,-2.218530e+06,1.297440e+00,3.013580e-04,2.882000e-05
825,0.00180184,1.112330e-02,3.263120e+03,-2.136600e+06,1.298800e+00,2.921890e-04,2.942950e-05
850,0.00180184,1.112290e-02,3.270540e+03,-2.054990e+06,1.296920e+00,2.835830e-04,3.003160e-05
875,0.00180184,1.112260e-02,3.298490e+03,-1.972910e+06,1.293650e+00,2.754750e-04,3.062760e-05
900,0.00180184,1.112220e-02,3.360540e+03,-1.889790e+06,1.288010e+00,2.678110e-04,3.121810e-05
925,0.00180184,1.112040e-02,3.538930e+03,-1.803970e+06,1.274970e+00,2.605320e-04,3.180330e-05
950,0.00180184,1.111390e-02,4.115090e+03,-1.709670e+06,1.244140e+00,2.535270e-04,3.238320e-05
975,0.00180184,1.109140e-02,5.859710e+03,-1.588690e+06,1.195230e+00,2.465260e-04,3.295700e-05
1000,0.00180184,1.102600e-02,1.004140e+04,-1.396030e+06,1.159300e+00,2.389460e-04,3.352220e-05
1025,0.00180184,1.088130e-02,1.638540e+04,-1.067270e+06,1.153770e+00,2.300590e-04,3.405580e-05
1050,0.00180184,1.065640e-02,2.123480e+04,-5.896790e+05,1.161260e+00,2.199400e-04,3.457760e-05
1075,0.00180184,1.040290e-02,2.198480e+04,-4.085990e+04,1.166140e+00,2.097130e-04,3.509350e-05
1100,0.00180184,1.017450e-02,1.952940e+04,4.826080e+05,1.167180e+00,2.004480e-04,3.560920e-05
1125,0.00180184,9.995870e-03,1.586360e+04,9.257440e+05,1.168780e+00,1.925530e-04,3.612690e-05
1150,0.00180184,9.867520e-03,1.237650e+04,1.277520e+06,1.174620e+00,1.859480e-04,3.664650e-05
1175,0.00180184,9.779650e-03,9.624300e+03,1.550830e+06,1.186080e+00,1.803710e-04,3.716670e-05
1200,0.00180184,9.720960e-03,7.652850e+03,1.765300e+06,1.202370e+00,1.755540e-04,3.768630e-05
1225,0.00180184,9.682120e-03,6.312390e+03,1.938740e+06,1.221270e+00,1.712840e-04,3.820460e-05
1250,0.00180184,9.656430e-03,5.425350e+03,2.084680e+06,1.240140e+00,1.674130e-04,3.872080e-05
1275,0.00180184,9.639330e-03,4.846120e+03,2.212560e+06,1.256820e+00,1.638390e-04,3.923470e-05
1300,0.00180184,9.627840e-03,4.470350e+03,2.328670e+06,1.270170e+00,1.604970e-04,3.974610e-05
1325,0.00180184,9.620030e-03,4.227840e+03,2.437180e+06,1.280010e+00,1.573410e-04,4.025490e-05
1350,0.00180184,9.614650e-03,4.072750e+03,2.540790e+06,1.286730e+00,1.543410e-04,4.076130e-05
1375,0.00180184,9.610860e-03,3.975610e+03,2.641300e+06,1.290940e+00,1.514750e-04,4.126510e-05
1400,0.00180184,9.608140e-03,3.917600e+03,2.739900e+06,1.293220e+00,1.487280e-04,4.176650e-05
1425,0.00180184,9.606120e-03,3.886800e+03,2.837400e+06,1.294040e+00,1.460880e-04,4.226550e-05
1450,0.00180184,9.604560e-03,3.875760e+03,2.934400e+06,1.293740e+00,1.435460e-04,4.276220e-05
1475,0.00180184,9.603270e-03,3.879920e+03,3.031320e+06,1.292570e+00,1.410940e-04,4.325660e-05
1500,0.00180184,9.602130e-03,3.896710e+03,3.128500e+06,1.290670e+00,1.387260e-04,4.374890e-05
1525,0.00180184,9.601040e-03,3.924860e+03,3.226250e+06,1.288110e+00,1.364360e-04,4.423900e-05
1550,0.00180184,9.599910e-03,3.964100e+03,3.324840e+06,1.284950e+00,1.342200e-04,4.472720e-05
1575,0.00180184,9.598660e-03,4.014840e+03,3.424550e+06,1.281200e+00,1.320720e-04,4.521340e-05
1600,0.00180184,9.597210e-03,4.078080e+03,3.525680e+06,1.276850e+00,1.299890e-04,4.569770e-05
1625,0.00180184,9.595500e-03,4.155270e+03,3.628570e+06,1.271910e+00,1.279660e-04,4.618020e-05
1650,0.00180184,9.593430e-03,4.248310e+03,3.733580e+06,1.266370e+00,1.260000e-04,4.666090e-05
1675,0.00180184,9.590910e-03,4.359490e+03,3.841130e+06,1.260240e+00,1.240870e-04,4.714010e-05
1700,0.00180184,9.587850e-03,4.491460e+03,3.951720e+06,1.253560e+00,1.222230e-04,4.761760e-05
1725,0.00180184,9.584130e-03,4.647270e+03,4.065910e+06,1.246360e+00,1.204050e-04,4.809370e-05
1750,0.00180184,9.579610e-03,4.830320e+03,4.184310e+06,1.238730e+00,1.186290e-04,4.856830e-05
1775,0.00180184,9.574150e-03,5.044420e+03,4.307680e+06,1.230760e+00,1.168920e-04,4.904160e-05
1800,0.00180184,9.567590e-03,5.293760e+03,4.436830e+06,1.222550e+00,1.151890e-04,4.951360e-05
1825,0.00180184,9.559740e-03,5.582910e+03,4.572700e+06,1.214230e+00,1.135180e-04,4.998450e-05
1850,0.00180184,9.550400e-03,5.916860e+03,4.716350e+06,1.205940e+00,1.118750e-04,5.045430e-05
1875,0.00180184,9.539330e-03,6.301010e+03,4.868960e+06,1.197820e+00,1.102550e-04,5.092310e-05
1900,0.00180184,9.526280e-03,6.741160e+03,5.031860e+06,1.190000e+00,1.086560e-04,5.139100e-05
1925,0.00180184,9.510990e-03,7.243520e+03,5.206540e+06,1.182590e+00,1.070720e-04,5.185810e-05
1950,0.00180184,9.493140e-03,7.814740e+03,5.394610e+06,1.175710e+00,1.055010e-04,5.232440e-05
1975,0.00180184,9.472420e-03,8.461840e+03,5.597910e+06,1.169440e+00,1.039380e-04,5.278990e-05
2000,0.00180184,9.448460e-03,9.192250e+03,5.818400e+06,1.163850e+00,1.023800e-04,5.325460e-05
2025,0.00180184,9.420910e-03,1.001380e+04,6.058280e+06,1.159000e+00,1.008210e-04,5.370360e-05
2050,0.00180184,9.389370e-03,1.093460e+04,6.319920e+06,1.154920e+00,9.925780e-05,5.415150e-05
2075,0.00180184,9.353420e-03,1.196330e+04,6.605910e+06,1.151640e+00,9.768650e-05,5.459790e-05
2100,0.00180184,9.312660e-03,1.310860e+04,6.919050e+06,1.149160e+00,9.610280e-05,5.504260e-05
2125,0.00180184,9.266630e-03,1.437970e+04,7.262390e+06,1.147490e+00,9.450280e-05,5.548520e-05
2150,0.00180184,9.214910e-03,1.578600e+04,7.639170e+06,1.146630e+00,9.288260e-05,5.592510e-05
