Tw_K,P_bar,M[kg/kmol],Cp[kJ/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[millipoise]
775,0.00180184,1.810550e+01,9.889060e+00,-2.778320e+06,1.150860e+00,5.062810e-04,2.996570e-01
800,0.00180184,1.767510e+01,1.095260e+01,-2.517270e+06,1.156250e+00,4.787990e-04,3.054350e-01
825,0.00180184,1.722250e+01,1.170370e+01,-2.233290e+06,1.161720e+00,4.524010e-04,3.109990e-01
850,0.00180184,1.677020e+01,1.204210e+01,-1.935540e+06,1.166460e+00,4.275640e-04,3.164040e-01
875,0.00180184,1.633980e+01,1.192370e+01,-1.635020e+06,1.170000e+00,4.046880e-04,3.217170e-01
900,0.00180184,1.594870e+01,1.138700e+01,-1.342860e+06,1.172320e+00,3.840290e-04,3.270080e-01
925,0.00180184,1.560770e+01,1.054720e+01,-1.068210e+06,1.173750e+00,3.656620e-04,3.323370e-01
950,0.00180184,1.532060e+01,9.560760e+00,-8.167240e+05,1.174760e+00,3.494900e-04,3.377440e-01
975,0.00180184,1.508500e+01,8.584040e+00,-5.900810e+05,1.175600e+00,3.352910e-04,3.432510e-01
1000,0.00180184,1.489440e+01,7.745990e+00,-3.863570e+05,1.175970e+00,3.227790e-04,3.488650e-01
1025,0.00180184,1.474010e+01,7.143430e+00,-2.008170e+05,1.174940e+00,3.116440e-04,3.543630e-01
1050,0.00180184,1.461230e+01,6.855930e+00,-2.656020e+04,1.171080e+00,3.015870e-04,3.599550e-01
1075,0.00180184,1.450090e+01,6.963670e+00,1.452680e+05,1.163390e+00,2.923280e-04,3.656450e-01
1100,0.00180184,1.439520e+01,7.566870e+00,3.257430e+05,1.152410e+00,2.836000e-04,3.714490e-01
1125,0.00180184,1.428330e+01,8.797730e+00,5.288330e+05,1.140430e+00,2.751440e-04,3.773970e-01
1150,0.00180184,1.415250e+01,1.081430e+01,7.721820e+05,1.130520e+00,2.666970e-04,3.835290e-01
1175,0.00180184,1.398880e+01,1.374260e+01,1.077200e+06,1.125000e+00,2.580020e-04,3.898930e-01
1200,0.00180184,1.377940e+01,1.747550e+01,1.466210e+06,1.124650e+00,2.488470e-04,3.965180e-01
1225,0.00180184,1.352090e+01,2.116500e+01,1.951050e+06,1.128130e+00,2.391950e-04,4.033670e-01
1250,0.00180184,1.323340e+01,2.256340e+01,2.505630e+06,1.131430e+00,2.294260e-04,4.102690e-01
1275,0.00180184,1.297130e+01,1.917950e+01,3.037990e+06,1.131240e+00,2.204730e-04,4.169230e-01
1300,0.00180184,1.279150e+01,1.267200e+01,3.437430e+06,1.135010e+00,2.132360e-04,4.230950e-01
1325,0.00180184,1.269780e+01,7.571810e+00,3.684740e+06,1.156670e+00,2.076800e-04,4.288320e-01
1350,0.00180184,1.265580e+01,5.035200e+00,3.837960e+06,1.192580e+00,2.031600e-04,4.343180e-01
1375,0.00180184,1.263720e+01,3.990180e+00,3.948780e+06,1.223590e+00,1.991720e-04,4.396820e-01
1400,0.00180184,1.262820e+01,3.577980e+00,4.042600e+06,1.241140e+00,1.954770e-04,4.449840e-01
1425,0.00180184,1.262330e+01,3.414270e+00,4.129690e+06,1.248890e+00,1.919730e-04,4.502440e-01
