Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,"C6H5OH,phenol",HNC,C(gr)
1.0,0.001,1.125000e+03,0.000000e+00,-4.076860e-01,7.767570e-23,9.847790e-07,2.028990e-19,2.602190e-18,6.981280e-06,1.334990e-14,2.836070e-01,4.704010e-06,3.237640e-26,1.869180e-18,1.129580e-08,3.940010e-25,2.921080e-34,9.453650e-17,3.183400e-34,1.256570e-05,4.904520e-01,8.955800e-06,2.259070e-01,8.003200e-19,8.527690e-29,1.643150e-24,4.842630e-26,6.855010e-21,1.184750e-28,3.395380e-08,1.000000e+00
1.0,0.001,1.150000e+03,0.000000e+00,-3.547850e-01,4.133480e-22,1.653610e-06,4.749770e-19,7.887020e-18,5.664320e-06,3.688890e-14,2.836110e-01,3.174380e-06,2.243440e-25,6.951300e-18,1.902230e-08,2.745980e-24,3.446430e-33,2.687910e-16,3.869130e-33,1.703330e-05,4.904510e-01,6.531510e-06,2.259040e-01,9.760670e-19,3.749930e-28,8.124910e-24,1.130000e-25,7.916650e-21,1.186190e-28,5.324430e-08,1.000000e+00
1.0,0.001,1.175000e+03,0.000000e+00,-3.016990e-01,2.048380e-21,2.716940e-06,1.072940e-18,2.280820e-17,4.635720e-06,9.759080e-14,2.836130e-01,2.179560e-06,1.430960e-24,2.443930e-17,3.132240e-08,1.760500e-23,3.659240e-32,7.307660e-16,4.225930e-32,2.278910e-05,4.904500e-01,4.828120e-06,2.259000e-01,1.180410e-18,1.548490e-27,3.752820e-23,2.544430e-25,9.084480e-21,1.187890e-28,8.189930e-08,1.000000e+00
1.0,0.001,1.200000e+03,0.000000e+00,-2.484190e-01,9.495080e-21,4.373850e-06,2.343940e-18,6.311680e-17,3.824940e-06,2.478560e-13,2.836150e-01,1.520990e-06,8.445270e-24,8.151680e-17,5.050180e-08,1.043720e-22,3.519410e-31,1.905060e-15,4.175580e-31,3.011810e-05,4.904460e-01,3.614400e-06,2.258950e-01,1.416290e-18,6.028210e-27,1.626070e-22,5.540860e-25,1.036280e-20,1.189860e-28,1.237190e-07,1.000000e+00
1.0,0.001,1.225000e+03,0.000000e+00,-1.949360e-01,4.133870e-20,6.907560e-06,4.962230e-18,1.675870e-16,3.180300e-06,6.058340e-13,2.836160e-01,1.077700e-06,4.633830e-23,2.587870e-16,7.983270e-08,5.749370e-22,3.084860e-30,4.774460e-15,3.755440e-30,3.934830e-05,4.904410e-01,2.738140e-06,2.258900e-01,1.686790e-18,2.220390e-26,6.635300e-22,1.169290e-24,1.175540e-20,1.192130e-28,1.837460e-07,1.000000e+00
1.0,0.001,1.250000e+03,0.000000e+00,-1.412400e-01,1.696750e-19,1.071410e-05,1.019950e-17,4.280110e-16,2.663540e-06,1.428460e-12,2.836160e-01,7.746170e-07,2.374140e-22,7.842710e-16,1.238780e-07,2.955730e-21,2.478050e-29,1.153060e-14,3.091750e-29,5.085420e-05,4.904330e-01,2.097640e-06,2.258840e-01,1.995030e-18,7.763660e-26,2.559070e-21,2.395760e-24,1.326620e-20,1.194690e-28,2.685800e-07,1.000000e+00
1.0,0.001,1.275000e+03,0.000000e+00,-8.732050e-02,6.588440e-19,1.633880e-05,2.038940e-17,1.053840e-15,2.246060e-06,3.255870e-12,2.836160e-01,5.643160e-07,1.140410e-21,2.275130e-15,1.888980e-07,1.423920e-20,1.833680e-28,2.689300e-14,2.342100e-28,6.505870e-05,4.904220e-01,1.623970e-06,2.258750e-01,2.344230e-18,2.584810e-25,9.359290e-21,4.774050e-24,1.489860e-20,1.197530e-28,3.867300e-07,1.000000e+00
1.0,0.001,1.300000e+03,0.000000e+00,-3.316230e-02,2.427960e-18,2.452060e-05,3.970500e-17,2.506790e-15,1.906320e-06,7.187800e-12,2.836150e-01,4.163560e-07,5.154910e-21,6.333770e-15,2.833470e-07,6.452260e-20,1.255840e-27,6.069630e-14,1.640390e-27,8.243630e-05,4.904080e-01,1.269810e-06,2.258660e-01,2.737650e-18,8.217440e-25,3.255900e-20,9.267140e-24,1.665560e-20,1.200670e-28,5.490330e-07,1.000000e+00
1.0,0.001,1.325000e+03,0.000000e+00,2.125250e-02,8.516890e-18,3.624800e-05,7.542970e-17,5.772010e-15,1.627900e-06,1.539720e-11,2.836140e-01,3.108860e-07,2.200310e-20,1.696080e-14,4.184780e-07,2.759640e-19,7.995460e-27,1.328090e-13,1.066990e-26,1.035150e-04,4.903890e-01,1.002230e-06,2.258530e-01,3.178600e-18,2.501060e-24,1.080420e-19,1.754930e-23,1.854020e-20,1.204090e-28,7.691160e-07,1.000000e+00
1.0,0.001,1.350000e+03,0.000000e+00,7.594720e-02,2.851590e-17,5.282500e-05,1.399880e-16,1.288800e-14,1.398230e-06,3.205770e-11,2.836110e-01,2.347690e-07,8.896700e-20,4.378220e-14,6.090680e-07,1.117640e-18,4.751370e-26,2.822160e-13,6.471840e-26,1.288770e-04,4.903640e-01,7.980700e-07,2.258390e-01,3.670400e-18,7.305300e-24,3.428850e-19,3.246540e-23,2.055480e-20,1.207780e-28,1.063920e-06,1.000000e+00
