Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,CH,CH2,CH3,C2H4,C2H6,"C3H3,1-propynl","C3H3,2-propynl","C6H5O,phenoxy","C6H5OH,phenol",O2,OH,C(gr)
1.0,0.001,1.050000e+03,3.617500e-01,-1.373810e+00,3.195260e-25,1.449650e-07,1.985480e-20,6.859780e-20,5.857720e-06,4.752030e-16,4.522930e-01,4.373960e-05,5.580260e-29,2.009950e-20,1.322900e-09,6.643520e-28,8.760120e-38,1.980350e-18,8.652020e-38,3.748310e-06,3.190010e-01,2.621590e-05,2.286270e-01,3.487220e-19,6.654950e-31,8.651910e-27,4.842520e-27,1.172650e-21,2.603120e-23,9.308850e-18,4.860120e-11,7.554830e-11,2.885270e-14,7.149480e-24,1.571040e-17,2.562660e-31,5.186460e-29,8.809180e-25,4.818370e-14,1.000000e+00
1.0,0.001,1.075000e+03,3.617840e-01,-1.332460e+00,2.171660e-24,2.622920e-07,5.253640e-20,2.442960e-19,4.614830e-06,1.524890e-15,4.523210e-01,2.781310e-05,5.139310e-28,9.066050e-20,2.406670e-09,6.168510e-27,1.484870e-36,6.567250e-18,1.517970e-36,5.314860e-06,3.190020e-01,1.825620e-05,2.286210e-01,4.378640e-19,3.631630e-30,5.406560e-26,1.277160e-26,1.384730e-21,1.274100e-22,2.600550e-17,7.018200e-11,8.352180e-11,2.177440e-14,2.294970e-23,3.741270e-17,3.779730e-31,5.190110e-29,1.603200e-24,7.161880e-14,1.000000e+00
1.0,0.001,1.100000e+03,3.618080e-01,-1.291030e+00,1.352730e-23,4.621210e-07,1.330750e-19,8.214260e-19,3.673820e-06,4.639290e-15,4.523390e-01,1.806430e-05,4.276790e-27,3.817460e-19,4.259360e-09,5.170820e-26,2.212010e-35,2.061610e-17,2.336650e-35,7.416190e-06,3.190030e-01,1.292400e-05,2.286160e-01,5.441040e-19,1.835040e-29,3.108140e-25,3.224550e-26,1.622150e-21,5.800130e-22,6.930740e-17,9.962100e-11,9.186930e-11,1.663500e-14,6.981190e-23,8.560930e-17,5.478380e-31,5.194460e-29,2.841460e-24,1.045780e-13,1.000000e+00
1.0,0.001,1.125000e+03,3.618250e-01,-1.249510e+00,7.767570e-23,7.942160e-07,3.236210e-19,2.617720e-18,2.953470e-06,1.342960e-14,4.523500e-01,1.196690e-05,3.237640e-26,1.507470e-18,7.347090e-09,3.940010e-25,2.921080e-34,6.148910e-17,3.183400e-34,1.019460e-05,3.190030e-01,9.290960e-06,2.286120e-01,6.696060e-19,8.629790e-29,1.652950e-24,7.816410e-26,1.886270e-21,2.467720e-21,1.767700e-16,1.391650e-10,1.005770e-10,1.285570e-14,2.019770e-22,1.887370e-16,7.812480e-31,5.199710e-29,4.913180e-24,1.501940e-13,1.000000e+00
1.0,0.001,1.150000e+03,3.618380e-01,-1.207860e+00,4.133480e-22,1.333620e-06,7.575840e-19,7.934100e-18,2.396310e-06,3.710910e-14,4.523570e-01,8.075620e-06,2.243440e-25,5.606160e-18,1.237260e-08,2.745980e-24,3.446430e-33,1.748290e-16,3.869130e-33,1.381920e-05,3.190020e-01,6.775950e-06,2.286090e-01,8.166480e-19,3.794820e-28,8.173410e-24,1.823930e-25,2.178390e-21,9.855890e-21,4.327170e-16,1.915260e-10,1.096320e-10,1.004280e-14,5.576040e-22,4.018720e-16,1.097350e-30,5.206010e-29,8.301450e-24,2.123930e-13,1.000000e+00
1.0,0.001,1.175000e+03,3.618510e-01,-1.166070e+00,2.048380e-21,2.191180e-06,1.711320e-18,2.294440e-17,1.961150e-06,9.817330e-14,4.523610e-01,5.544810e-06,1.430960e-24,1.971010e-17,2.037290e-08,1.760500e-23,3.659240e-32,4.753080e-16,4.225930e-32,1.848890e-05,3.190010e-01,5.008800e-06,2.286050e-01,9.876110e-19,1.567030e-27,3.775220e-23,4.106950e-25,2.499720e-21,3.710170e-20,1.019320e-15,2.599340e-10,1.190200e-10,7.925490e-15,1.473380e-21,8.282940e-16,1.519700e-30,5.213450e-29,1.372630e-23,2.960260e-13,1.000000e+00
1.0,0.001,1.200000e+03,3.618630e-01,-1.124150e+00,9.495080e-21,3.527460e-06,3.738570e-18,6.349370e-17,1.618140e-06,2.493360e-13,4.523640e-01,3.869410e-06,8.445270e-24,6.574240e-17,3.284750e-08,1.043720e-22,3.519410e-31,1.239100e-15,4.175580e-31,2.443490e-05,3.189980e-01,3.749650e-06,2.286010e-01,1.184970e-18,6.100410e-27,1.635780e-22,8.943500e-25,2.851440e-21,1.321290e-19,2.316170e-15,3.481980e-10,1.287250e-10,6.314710e-15,3.736540e-21,1.655910e-15,2.076900e-30,5.222090e-29,2.224060e-23,4.070220e-13,1.000000e+00
1.0,0.001,1.225000e+03,3.618760e-01,-1.082070e+00,4.133870e-20,5.570860e-06,7.914730e-18,1.685880e-16,1.345420e-06,6.094520e-13,4.523660e-01,2.741690e-06,4.633830e-23,2.087090e-16,5.192490e-08,5.749370e-22,3.084860e-30,3.105410e-15,3.755440e-30,3.192350e-05,3.189930e-01,2.840600e-06,2.285970e-01,1.411280e-18,2.246990e-26,6.674930e-22,1.887360e-24,3.234620e-21,4.466700e-19,5.088040e-15,4.607540e-10,1.387350e-10,5.076890e-15,9.117810e-21,3.217070e-15,2.803360e-30,5.231990e-29,3.535630e-23,5.525380e-13,1.000000e+00
1.0,0.001,1.250000e+03,3.618920e-01,-1.039840e+00,1.696750e-19,8.640800e-06,1.626820e-17,4.305690e-16,1.126800e-06,1.437000e-12,4.523660e-01,1.970630e-06,2.374140e-22,6.325040e-16,8.057290e-08,2.955730e-21,2.478050e-29,7.499730e-15,3.091750e-29,4.125830e-05,3.189870e-01,2.176130e-06,2.285910e-01,1.669160e-18,7.856720e-26,2.574360e-21,3.867040e-24,3.650290e-21,1.437870e-18,1.082770e-14,6.027250e-10,1.490350e-10,4.116600e-15,2.145810e-20,6.084220e-15,3.740080e-30,5.243160e-29,5.520910e-23,7.411350e-13,1.000000e+00
1.0,0.001,1.275000e+03,3.619090e-01,-9.974400e-01,6.588440e-19,1.317690e-05,3.252100e-17,1.060150e-15,9.501770e-07,3.275340e-12,4.523660e-01,1.435630e-06,1.140410e-21,1.834860e-15,1.228620e-07,1.423920e-20,1.833680e-28,1.749170e-14,2.342100e-28,5.278250e-05,3.189790e-01,1.684730e-06,2.285850e-01,1.961310e-18,2.615810e-25,9.415250e-21,7.705930e-24,4.099390e-21,4.420230e-18,2.236340e-14,7.799620e-10,1.596090e-10,3.364880e-15,4.880950e-20,1.121920e-14,4.935400e-30,5.255600e-29,8.476780e-23,9.829410e-13,1.000000e+00
