Tw_K,P_bar,M[kg/mol],Cp[J/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[Pa-s]
825,0.00180184,1.373200e-02,4.304310e+03,-2.549430e+06,1.208860e+00,3.607120e-04,3.052490e-05
850,0.00180184,1.362220e-02,8.620300e+03,-2.390970e+06,1.170350e+00,3.473040e-04,3.111140e-05
875,0.00180184,1.339490e-02,1.144920e+04,-2.133950e+06,1.172370e+00,3.317530e-04,3.164760e-05
900,0.00180184,1.313060e-02,1.204460e+04,-1.837140e+06,1.176810e+00,3.161730e-04,3.216150e-05
925,0.00180184,1.287870e-02,1.158740e+04,-1.540310e+06,1.180070e+00,3.017250e-04,3.267220e-05
950,0.00180184,1.265780e-02,1.067100e+04,-1.261530e+06,1.182750e+00,2.887460e-04,3.318860e-05
975,0.00180184,1.247270e-02,9.627700e+03,-1.007790e+06,1.185330e+00,2.772280e-04,3.371480e-05
1000,0.00180184,1.232130e-02,8.669200e+03,-7.794210e+05,1.187610e+00,2.670180e-04,3.425200e-05
1025,0.00180184,1.219840e-02,7.932550e+03,-5.724730e+05,1.188600e+00,2.579060e-04,3.477670e-05
1050,0.00180184,1.209710e-02,7.514610e+03,-3.801330e+05,1.186590e+00,2.496750e-04,3.531060e-05
1075,0.00180184,1.201010e-02,7.496330e+03,-1.934140e+05,1.180090e+00,2.421130e-04,3.585340e-05
1100,0.00180184,1.192950e-02,7.962570e+03,-1.281760e+03,1.169100e+00,2.350240e-04,3.640580e-05
1125,0.00180184,1.184760e-02,9.004460e+03,2.095160e+05,1.155800e+00,2.282230e-04,3.696930e-05
1150,0.00180184,1.175590e-02,1.068790e+04,4.543200e+05,1.143530e+00,2.215340e-04,3.754600e-05
1175,0.00180184,1.164700e-02,1.294590e+04,7.488010e+05,1.134970e+00,2.148120e-04,3.813780e-05
1200,0.00180184,1.151670e-02,1.532140e+04,1.102820e+06,1.131100e+00,2.079840e-04,3.874410e-05
1225,0.00180184,1.137040e-02,1.659260e+04,1.505890e+06,1.131130e+00,2.011510e-04,3.935820e-05
1250,0.00180184,1.122930e-02,1.507510e+04,1.908680e+06,1.134510e+00,1.946810e-04,3.996480e-05
1275,0.00180184,1.112300e-02,1.097520e+04,2.237070e+06,1.146390e+00,1.890580e-04,4.054670e-05
1300,0.00180184,1.106210e-02,7.150300e+03,2.460380e+06,1.175960e+00,1.844060e-04,4.110030e-05
1325,0.00180184,1.103250e-02,5.057050e+03,2.609630e+06,1.216570e+00,1.804430e-04,4.163500e-05
1350,0.00180184,1.101840e-02,4.152140e+03,2.723090e+06,1.248890e+00,1.768740e-04,4.215990e-05
1375,0.00180184,1.101100e-02,3.779740e+03,2.821560e+06,1.266770e+00,1.735420e-04,4.267950e-05
1400,0.00180184,1.100660e-02,3.622310e+03,2.913820e+06,1.274950e+00,1.703760e-04,4.319550e-05
1425,0.00180184,1.100380e-02,3.554590e+03,3.003410e+06,1.278160e+00,1.673440e-04,4.370860e-05
1450,0.00180184,1.100180e-02,3.528500e+03,3.091890e+06,1.278890e+00,1.644280e-04,4.421920e-05
1475,0.00180184,1.100020e-02,3.524970e+03,3.180020e+06,1.278240e+00,1.616180e-04,4.472740e-05
1500,0.00180184,1.099880e-02,3.536070e+03,3.268260e+06,1.276710e+00,1.589050e-04,4.523320e-05
1525,0.00180184,1.099760e-02,3.558480e+03,3.356920e+06,1.274520e+00,1.562820e-04,4.573690e-05
1550,0.00180184,1.099630e-02,3.591020e+03,3.446260e+06,1.271750e+00,1.537430e-04,4.623850e-05
1575,0.00180184,1.099490e-02,3.633660e+03,3.536550e+06,1.268450e+00,1.512830e-04,4.673800e-05
