P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,Mo,MoO,MoO2,MoO3,Mo2O6,Mo3O9,Mo4O12,Mo5O15,Mo(cr),Mo(L),MoO2(cr),MoO3(cr),MoO3(L)
0.001,1.900000e+03,4.723370e-01,-1.034590e-01,5.859030e-09,7.133260e-05,1.000810e-04,8.808910e-01,5.722770e-05,3.967770e-08,1.360890e-05,6.975280e-03,7.791800e-02,2.848810e-02,5.470650e-03,1.497140e-05,9.633290e-09,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,1.925000e+03,4.742560e-01,-2.087060e-02,8.662980e-09,1.007720e-04,1.231820e-04,8.750710e-01,7.508320e-05,6.741310e-08,2.065810e-05,8.922580e-03,8.638330e-02,2.529550e-02,3.998500e-03,9.229870e-06,5.089820e-09,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,1.950000e+03,4.765460e-01,6.106960e-02,1.268200e-08,1.404450e-04,1.501010e-04,8.694730e-01,9.690530e-05,1.129570e-07,3.086830e-05,1.123150e-02,9.415080e-02,2.189740e-02,2.823470e-03,5.444370e-06,2.547190e-09,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,1.975000e+03,4.792260e-01,1.411050e-01,1.839010e-08,1.931780e-04,1.811360e-04,8.642170e-01,1.230780e-04,1.867600e-07,4.542470e-05,1.391740e-02,1.009090e-01,1.848360e-02,1.926450e-03,3.073020e-06,1.207520e-09,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,2.000000e+03,4.823030e-01,2.182920e-01,2.642610e-08,2.623700e-04,2.165690e-04,8.593850e-01,1.539270e-04,3.048390e-07,6.586980e-05,1.698710e-02,1.064260e-01,1.522920e-02,1.271840e-03,1.662810e-06,5.434740e-10,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,2.025000e+03,4.857770e-01,2.921240e-01,3.764430e-08,3.520830e-04,2.566820e-04,8.550120e-01,1.897310e-04,4.914520e-07,9.418850e-05,2.044090e-02,1.105680e-01,1.227020e-02,8.145950e-04,8.654800e-07,2.332100e-10,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,2.050000e+03,4.896460e-01,3.625620e-01,5.317640e-08,4.671490e-04,3.017540e-04,8.510850e-01,2.307320e-04,7.829080e-07,1.329110e-04,2.427460e-02,1.133080e-01,9.690600e-03,5.079070e-04,4.352970e-07,9.595250e-11,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,2.075000e+03,4.939020e-01,4.299580e-01,7.451070e-08,6.132890e-04,3.520730e-04,8.475560e-01,2.771500e-04,1.232950e-06,1.852370e-04,2.848160e-02,1.147020e-01,7.521770e-03,3.094820e-04,2.126360e-07,3.809380e-11,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,2.100000e+03,4.985400e-01,4.949290e-01,1.035880e-07,7.972260e-04,4.079270e-04,8.443520e-01,3.291870e-04,1.920290e-06,2.551710e-04,3.305320e-02,1.148650e-01,5.753010e-03,1.849920e-04,1.013900e-07,1.468450e-11,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,2.125000e+03,5.035520e-01,5.582130e-01,1.429200e-07,1.026810e-03,4.695960e-04,8.413940e-01,3.870170e-04,2.958970e-06,3.476840e-04,3.797790e-02,1.139390e-01,4.346070e-03,1.088470e-04,4.740390e-08,5.527150e-12,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
