Tw_K,P_bar,Bc
1025,0.00180184,4.656580e-01
1050,0.00180184,4.656580e-01
1075,0.00180184,4.656580e-01
1100,0.00180184,4.656580e-01
1125,0.00180184,4.656580e-01
1150,0.00180184,4.656580e-01
1175,0.00180184,4.656580e-01
1200,0.00180184,4.656580e-01
1225,0.00180184,4.656580e-01
1250,0.00180184,4.656580e-01
1275,0.00180184,4.656580e-01
1300,0.00180184,4.656580e-01
1325,0.00180184,4.656590e-01
1350,0.00180184,4.656590e-01
1375,0.00180184,4.656590e-01
1400,0.00180184,4.656590e-01
1425,0.00180184,4.656600e-01
1450,0.00180184,4.656610e-01
1475,0.00180184,4.656640e-01
1500,0.00180184,4.656670e-01
1525,0.00180184,4.656730e-01
1550,0.00180184,4.656820e-01
1575,0.00180184,4.656970e-01
1600,0.00180184,4.657200e-01
1625,0.00180184,4.657540e-01
1650,0.00180184,4.658050e-01
1675,0.00180184,4.658790e-01
1700,0.00180184,4.659870e-01
1725,0.00180184,4.661390e-01
1750,0.00180184,4.663530e-01
1775,0.00180184,4.666480e-01
1800,0.00180184,4.670480e-01
1825,0.00180184,4.675830e-01
1850,0.00180184,4.682860e-01
1875,0.00180184,4.691960e-01
1900,0.00180184,4.703520e-01
1925,0.00180184,4.717960e-01
1950,0.00180184,4.735630e-01
1975,0.00180184,4.756840e-01
2000,0.00180184,4.781840e-01
2025,0.00180184,4.810720e-01
2050,0.00180184,4.843540e-01
2075,0.00180184,4.880250e-01
2100,0.00180184,4.920760e-01
2125,0.00180184,4.964980e-01
2150,0.00180184,5.012790e-01
2175,0.00180184,5.064070e-01
2200,0.00180184,5.118690e-01
2225,0.00180184,5.176490e-01
2250,0.00180184,5.237270e-01
2275,0.00180184,5.300780e-01
2300,0.00180184,5.366730e-01
2325,0.00180184,5.434750e-01
2350,0.00180184,5.504460e-01
2375,0.00180184,5.575420e-01
2400,0.00180184,5.647200e-01
2425,0.00180184,5.719380e-01
2450,0.00180184,5.791560e-01
2475,0.00180184,5.863420e-01
2500,0.00180184,5.934740e-01
2525,0.00180184,6.005430e-01
2550,0.00180184,6.075560e-01
2575,0.00180184,6.145410e-01
2600,0.00180184,6.215460e-01
2625,0.00180184,6.286500e-01
2650,0.00180184,6.359570e-01
2675,0.00180184,6.436080e-01
2700,0.00180184,6.517770e-01
2725,0.00180184,6.606840e-01
2750,0.00180184,6.705960e-01
2775,0.00180184,6.818340e-01
2800,0.00180184,6.947870e-01
2825,0.00180184,7.099160e-01
2850,0.00180184,7.277800e-01
2875,0.00180184,7.490440e-01
2900,0.00180184,7.739760e-01
2925,0.00180184,8.007730e-01
2950,0.00180184,8.329370e-01
2975,0.00180184,8.716870e-01
3000,0.00180184,9.185230e-01
3025,0.00180184,9.753170e-01
3050,0.00180184,1.044430e+00
3075,0.00180184,1.128880e+00
3100,0.00180184,1.232600e+00
3125,0.00180184,1.360840e+00
3150,0.00180184,1.520700e+00
3175,0.00180184,1.722160e+00
3200,0.00180184,1.979640e+00
3225,0.00180184,2.314830e+00
3250,0.00180184,2.762000e+00
3275,0.00180184,3.378720e+00
3300,0.00180184,4.269800e+00
3325,0.00180184,5.648480e+00
3350,0.00180184,8.025720e+00
