Tw_K,P_bar,phi,f_air,Bg,Bc
3975,0.00180184,0.8,0,0,2.000000e+02
4000,0.00180184,0.8,0,0,2.000000e+02
4025,0.00180184,0.8,0,0,2.000000e+02
4050,0.00180184,0.8,0,0,2.000000e+02
4075,0.00180184,0.8,0,0,2.000000e+02
4100,0.00180184,0.8,0,0,2.000000e+02
4125,0.00180184,0.8,0,0,2.000000e+02
4150,0.00180184,0.8,0,0,2.000000e+02
4175,0.00180184,0.8,0,0,2.000000e+02
4200,0.00180184,0.8,0,0,2.000000e+02
4225,0.00180184,0.8,0,0,2.000000e+02
4250,0.00180184,0.8,0,0,2.000000e+02
4275,0.00180184,0.8,0,0,2.000000e+02
4300,0.00180184,0.8,0,0,2.000000e+02
4325,0.00180184,0.8,0,0,2.000000e+02
4350,0.00180184,0.8,0,0,2.000000e+02
4375,0.00180184,0.8,0,0,2.000000e+02
4400,0.00180184,0.8,0,0,2.000000e+02
4425,0.00180184,0.8,0,0,2.000000e+02
4450,0.00180184,0.8,0,0,2.000000e+02
4475,0.00180184,0.8,0,0,2.000000e+02
4500,0.00180184,0.8,0,0,2.000000e+02
4525,0.00180184,0.8,0,0,2.000000e+02
4550,0.00180184,0.8,0,0,2.000000e+02
4575,0.00180184,0.8,0,0,2.000000e+02
4600,0.00180184,0.8,0,0,2.000000e+02
4625,0.00180184,0.8,0,0,2.000000e+02
4650,0.00180184,0.8,0,0,2.000000e+02
4675,0.00180184,0.8,0,0,2.000000e+02
4700,0.00180184,0.8,0,0,2.000000e+02
4725,0.00180184,0.8,0,0,2.000000e+02
4750,0.00180184,0.8,0,0,2.000000e+02
4775,0.00180184,0.8,0,0,2.000000e+02
4800,0.00180184,0.8,0,0,2.000000e+02
4825,0.00180184,0.8,0,0,2.000000e+02
4850,0.00180184,0.8,0,0,2.000000e+02
4875,0.00180184,0.8,0,0,2.000000e+02
4900,0.00180184,0.8,0,0,2.000000e+02
4925,0.00180184,0.8,0,0,2.000000e+02
4950,0.00180184,0.8,0,0,2.000000e+02
4975,0.00180184,0.8,0,0,2.000000e+02
5000,0.00180184,0.8,0,0,2.000000e+02
300,0.00320418,0.8,0,0,6.235550e-02
325,0.00320418,0.8,0,0,6.330570e-02
350,0.00320418,0.8,0,0,6.453100e-02
375,0.00320418,0.8,0,0,6.604700e-02
400,0.00320418,0.8,0,0,6.788480e-02
425,0.00320418,0.8,0,0,7.010370e-02
450,0.00320418,0.8,0,0,7.279460e-02
475,0.00320418,0.8,0,0,7.607310e-02
500,0.00320418,0.8,0,0,8.006630e-02
525,0.00320418,0.8,0,0,8.489830e-02
550,0.00320418,0.8,0,0,9.068920e-02
575,0.00320418,0.8,0,0,9.758700e-02
600,0.00320418,0.8,0,0,1.058590e-01
625,0.00320418,0.8,0,0,1.160580e-01
650,0.00320418,0.8,0,0,1.292420e-01
675,0.00320418,0.8,0,0,1.471350e-01
700,0.00320418,0.8,0,0,1.720810e-01
725,0.00320418,0.8,0,0,2.064450e-01
750,0.00320418,0.8,0,0,2.509470e-01
775,0.00320418,0.8,0,0,3.019590e-01
800,0.00320418,0.8,0,0,3.507100e-01
825,0.00320418,0.8,0,0,3.884560e-01
850,0.00320418,0.8,0,0,4.127730e-01
875,0.00320418,0.8,0,0,4.266800e-01
900,0.00320418,0.8,0,0,4.342020e-01
925,0.00320418,0.8,0,0,4.382180e-01
950,0.00320418,0.8,0,0,4.403810e-01
975,0.00320418,0.8,0,0,4.415710e-01
1000,0.00320418,0.8,0,0,4.422400e-01
1025,0.00320418,0.8,0,0,4.426270e-01
1050,0.00320418,0.8,0,0,4.428560e-01
1075,0.00320418,0.8,0,0,4.429950e-01
1100,0.00320418,0.8,0,0,4.430820e-01
1125,0.00320418,0.8,0,0,4.431360e-01
1150,0.00320418,0.8,0,0,4.431720e-01
1175,0.00320418,0.8,0,0,4.431950e-01
1200,0.00320418,0.8,0,0,4.432110e-01
1225,0.00320418,0.8,0,0,4.432210e-01
1250,0.00320418,0.8,0,0,4.432290e-01
1275,0.00320418,0.8,0,0,4.432340e-01
1300,0.00320418,0.8,0,0,4.432370e-01
1325,0.00320418,0.8,0,0,4.432400e-01
1350,0.00320418,0.8,0,0,4.432420e-01
1375,0.00320418,0.8,0,0,4.432440e-01
1400,0.00320418,0.8,0,0,4.432450e-01
1425,0.00320418,0.8,0,0,4.432460e-01
1450,0.00320418,0.8,0,0,4.432470e-01
1475,0.00320418,0.8,0,0,4.432480e-01
1500,0.00320418,0.8,0,0,4.432490e-01
1525,0.00320418,0.8,0,0,4.432510e-01
1550,0.00320418,0.8,0,0,4.432520e-01
1575,0.00320418,0.8,0,0,4.432540e-01
